tic,fap_ref,routed,Lambda,shape_pass,n_transits,fap_gate_pass
265468668,0.952047952047952,False,0.0,False,0,
266640615,0.4325674325674326,True,1.686318112345909,True,6,False
260266449,0.5174825174825175,True,0.0,False,10,False
260420823,0.0519480519480519,True,12.404653588105981,True,6,False
260476107,0.8361638361638362,True,45.4839294929375,True,2,False
260476779,0.4885114885114885,True,0.04722835522249028,True,120,False
266640848,0.6433566433566433,False,0.0,False,0,
266723295,1.0,False,0.0,False,0,
266735121,0.966033966033966,True,15.047072195473712,True,3,False
266784171,0.2057942057942058,False,0.0,False,0,
266785297,,False,0.0,False,0,
266787143,0.2667332667332667,False,0.0,False,0,
266787510,0.3586413586413586,False,0.0,False,0,
266905315,0.8051948051948052,False,0.0,False,0,
266966946,0.3796203796203796,True,11.914152362234542,True,3,False
266994265,0.6673326673326674,False,0.0,False,0,
266994443,0.6993006993006993,False,0.0,False,0,
267002000,0.5214785214785215,False,0.0,False,0,
267040956,0.2717282717282717,False,0.0,False,0,
267041899,0.8231768231768232,True,1.4454564575571234,True,47,False
267046790,0.5814185814185814,False,0.0,False,0,
267090033,0.4855144855144855,False,0.0,False,0,
267183401,0.3536463536463536,False,0.0,False,0,
267324084,0.7172827172827173,False,0.0,False,0,
268751690,0.6853146853146853,False,0.0,False,0,
268765642,0.5974025974025974,True,28.162866430916335,True,6,False
268765670,0.2527472527472527,False,0.0,False,0,
268785978,0.7752247752247752,True,17.882308899000567,True,8,False
269847768,0.5554445554445554,False,0.0,False,0,
270166054,0.1288711288711288,False,0.0,False,0,
270173850,0.6493506493506493,False,0.0,False,0,
270174158,0.7392607392607392,False,0.0,False,0,
270249497,0.4925074925074925,False,0.0,False,0,
270260170,0.8191808191808192,False,0.0,False,0,
270268773,0.7492507492507493,False,0.0,False,0,
270269007,0.2807192807192807,False,0.0,False,0,
270286182,0.6013986013986014,False,0.0,False,0,
270302483,0.5484515484515484,False,0.0,False,0,
270303376,0.1158841158841158,False,0.0,False,0,
270337261,0.0459540459540459,False,0.0,False,0,
270480629,0.0979020979020979,False,0.0,False,0,
270481071,0.4575424575424575,False,0.0,False,0,
270621612,0.2137862137862138,False,0.0,False,0,
270622780,0.5084915084915085,False,0.0,False,0,
270653912,0.7442557442557443,False,0.0,False,0,
273555466,0.4725274725274725,False,0.0,False,0,
273569625,0.6273726273726273,False,0.0,False,0,
273652136,0.0769230769230769,False,0.0,False,0,
273734245,0.3376623376623376,False,0.0,False,0,
273792114,0.5414585414585414,False,0.0,False,0,
277891996,0.4925074925074925,False,0.0,False,0,
277892453,0.0809190809190809,False,0.0,False,0,
277911424,0.924075924075924,False,0.0,False,0,
277911656,0.2907092907092907,False,0.0,False,0,
277912869,0.4355644355644356,False,0.0,False,0,
277940529,0.956043956043956,False,0.0,False,0,
278777620,0.0409590409590409,True,2.8900190561552517,True,38,False
278779083,0.3306693306693307,False,0.0,False,0,
278957617,0.904095904095904,True,0.0,True,2,False
278990983,0.6063936063936064,False,0.0,False,0,
278991073,0.3446553446553446,False,0.0,False,0,
278991349,0.1808191808191808,False,0.0,False,0,
278991580,0.1058941058941058,False,0.0,False,0,
279052786,0.3356643356643357,True,1.084543648407677,True,95,False
279054946,0.1808191808191808,False,0.0,False,0,
279055830,0.0809190809190809,False,0.0,False,0,
279091165,,False,0.0,False,0,
279092536,0.0339660339660339,True,0.349835721003619,True,110,False
279159844,0.8691308691308691,False,0.0,False,0,
279160404,0.5354645354645354,False,0.0,False,0,
279087952,0.3916083916083916,True,0.0,True,73,False
279088303,0.0709290709290709,True,0.0,True,31,False
279088539,0.2337662337662337,True,0.04568299063081628,True,120,False
279091054,0.2117882117882117,True,0.7969868005166763,True,72,False
280698967,0.2917082917082917,False,0.0,False,0,
280789406,0.2697302697302697,False,0.0,False,0,
280789967,0.4035964035964036,False,0.0,False,0,
281497193,0.0199800199800199,False,0.0,False,0,
