tic,P,Rp,b,k,t14_seeded,Lb,obs_R,P_hat,P_true,fap_sealed,fap_full,fap_cur,bitexact,gate_sealed,gate_full,gate_cur,n_cur,curtailed,t_sealed,t_full,t_cur
149993861,4.0,8,0.3,19,0.1,0.30000000000000004,0.8842782640007313,4.036032523612442,4.0,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True,True,True,1000,False,37.35168500000003,5.308914000000016,5.299876999999981
207174734,4.0,12,0.0,13,0.1,0.30000000000000004,0.9791692824428303,4.010210047463236,4.0,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True,True,True,1000,False,23.470170999999993,3.255660999999975,3.2552560000000312
92497469,8.0,2,0.0,2,0.05,0.15000000000000002,0.9999999999999999,0.5499878761606851,8.0,0.022977022977022976,0.022977022977022976,0.01098901098901099,True,False,False,False,378,True,13.200018,1.8716039999999907,0.7050329999999576
12787544,8.0,2,0.3,6,0.1,0.30000000000000004,0.9156834250914534,2.693755545067238,8.0,0.43156843156843155,0.43156843156843155,0.01098901098901099,True,False,False,False,28,True,12.220500000000015,1.9588219999999978,0.05515700000000834
41898474,4.0,12,0.6,4,0.05,0.15000000000000002,0.9856097887462142,3.6199952259318398,4.0,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True,True,True,1000,False,23.977066999999977,2.4817110000000184,2.4811090000000036
270481071,8.0,2,0.3,2,0.1,0.30000000000000004,1.0,8.008261633879556,8.0,0.18181818181818182,0.18181818181818182,0.01098901098901099,True,False,False,False,55,True,11.55229399999996,1.9072800000000143,0.10557299999999259
144434171,8.0,2,0.0,3,0.1,0.30000000000000004,0.8984179043075688,3.634441118909253,8.0,0.6263736263736264,0.6263736263736264,0.01098901098901099,True,False,False,False,22,True,11.602098000000012,1.926224999999988,0.04188699999997425
24696180,4.0,12,0.0,16,0.2,0.6000000000000001,0.8373306368396628,1.9884524369333163,4.0,0.004995004995004995,0.004995004995004995,0.004995004995004995,True,True,True,True,1000,False,30.417813000000024,3.670995000000005,3.6967639999999733
317088106,8.0,4,0.0,4,0.2,0.6000000000000001,0.9869937644127942,0.730672733740942,8.0,0.16983016983016982,0.16983016983016982,0.01098901098901099,True,False,False,False,58,True,13.823752000000013,2.0199179999999615,0.11519200000003593
219334470,8.0,4,0.3,3,0.1,0.30000000000000004,0.9830953507385024,8.302292642951556,8.0,0.28771228771228774,0.28771228771228774,0.01098901098901099,True,False,False,False,38,True,12.918497000000002,1.89234399999998,0.07156100000003107
267090033,8.0,4,0.6,4,0.05,0.15000000000000002,0.9804634400618143,2.0170816423990874,8.0,0.19080919080919082,0.19080919080919082,0.01098901098901099,True,False,False,False,46,True,13.29466199999996,1.7440579999999954,0.08222399999999652
279318109,8.0,1,0.6,8,0.05,0.15000000000000002,0.7894674795069179,0.61812137020242,8.0,0.6273726273726273,0.6273726273726273,0.01098901098901099,True,False,False,False,16,True,36.672034999999994,4.460241000000053,0.07232999999996537
164768954,8.0,4,0.0,3,0.1,0.30000000000000004,0.9999979142068803,0.8890522469053441,8.0,0.060939060939060936,0.060939060939060936,0.01098901098901099,True,False,False,False,172,True,8.575756999999953,1.4718320000000062,0.2550679999999943
155986202,8.0,4,0.0,4,0.2,0.6000000000000001,0.9906083225264983,8.253350244892065,8.0,0.16483516483516483,0.16483516483516483,0.01098901098901099,True,False,False,False,52,True,12.739720000000034,1.9245369999999866,0.10091399999998885
469939625,8.0,4,0.3,3,0.05,0.15000000000000002,0.9600994301702195,1.1476124548290927,8.0,0.3336663336663337,0.3336663336663337,0.01098901098901099,True,False,False,False,35,True,12.522387000000037,1.9605159999999842,0.06967199999996865
284083051,8.0,8,0.0,3,0.1,0.30000000000000004,0.9972526885848757,1.9972350109513288,8.0,0.09490509490509491,0.09490509490509491,0.01098901098901099,True,False,False,False,70,True,8.59370100000001,1.4357689999999934,0.10024199999998018
251885542,8.0,8,0.3,3,0.2,0.6000000000000001,0.9918374303589709,8.195366809194466,8.0,0.14985014985014986,0.14985014985014986,0.01098901098901099,True,False,False,False,53,True,11.96175599999998,1.9662569999999846,0.10571399999997766
